movieCd,movieNm,movieNmEn,openDt,repGenreNm,repNationNm,directors
20183063,박물관이 진짜 살아있다,Harvie and the Magic Museum,20181108,애니메이션,체코,마틴 코틱
20183505,인 디 아일,In The Aisles,20181122,드라마,독일,토마스 스터버
20182967,에스코바르,Loving Pablo,20181115,범죄,스페인,페르난도 레온 데 아라노아
20184053,이차크의 행복한 바이올린,Itzhak,20181220,다큐멘터리,미국,앨리슨 쉐르닉
20181910,안개 속 소녀,The girl in the fog,20181206,미스터리,이탈리아,도나토 카리시
20184703,다잉,Dying,20181227,드라마,스페인,페르난도 프랑코
20183845,메리 셸리: 프랑켄슈타인의 탄생,MARY SHELLEY,20181220,드라마,미국,하이파 알-만수르
20182082,부탁 하나만 들어줘,A Simple Favor,20181212,스릴러,미국,폴 페이그
20183073,베일리 어게인,A Dog's Purpose,20181122,어드벤처,미국,라세 할스트롬
20183293,12피트,12 FEET DEEP,20181108,스릴러,미국,맷 에스칸다리
20183666,미스터 앤 미스터 대디,Ideal Home,20181122,코미디,미국,앤드류 플레밍
20186822,너의 췌장을 먹고 싶어,I want to eat your pancreas,20181115,애니메이션,일본,우시지마 신이치로
20181197,맥퀸,McQueen,20181004,다큐멘터리,영국,이안 보노트
20182386,해피 댄싱,Finding your feet,20181115,드라마,영국,리차드 론크레인
20177461,너는 여기에 없었다,You Were Never Really Here,20181004,드라마,프랑스,린 램지
20183043,캡틴 샤키,Capt'n sharky,20181122,애니메이션,독일,허버트 베일란드
20181323,언더 더 트리,Under the tree,20181108,코미디,아이슬란드,하프슈타인 군나르 지그라쏜
20181669,윌리,Wheely,20181025,애니메이션,말레이시아,칼 멘데스
20181367,캡틴 스터비,Sgt. Stubby: An American Hero,20181101,애니메이션,미국,리처드 라니
20181310,필름스타 인 리버풀,Film Stars Don't Die in Liverpool,20181025,드라마,영국,폴 맥기건
20181803,더 파티,The Party,20181220,코미디,영국,샐리 포터
20180929,"사랑, 스무살",Almost Friends,20181025,멜로/로맨스,미국,제이크 골드버거
20182745,초이스,The Choice,20181108,멜로/로맨스,미국,로스 캐츠
20181086,군산: 거위를 노래하다,Ode to the Goose,20181108,드라마,한국,장률
20183495,리스펙트,Respect,20181128,다큐멘터리,한국,심재희
20162979,마담 B,Mrs.B. A North Korean Woman,20181115,다큐멘터리,한국,윤재호
20183390,다영씨,Hello Dayoung,20181206,드라마,한국,고봉수
20180401,풀잎들,Grass,20181025,드라마,한국,홍상수
20181142,늦여름,Passing Summer,20181025,멜로/로맨스,한국,조성규
20181876,"안녕, 나의 소녀 시절이여","Goodbye, My Girlhood",20181212,다큐멘터리,한국,김한석
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,20181225,애니메이션,한국,한상호
20183006,더 넌: 수녀의 저주,Curse of the nun,20181103,공포(호러),미국,아론 머티스
20183375,극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,20181219,애니메이션,일본,야지마 테츠오
20183005,킬 존,Killing Joan,20181104,액션,미국,토드 바투
20186281,범블비,Bumblebee,20181225,액션,미국,트래비스 나이트
20184806,러빙 빈센트 : 비하인드 에디션,Loving Vincent : Behind Addition,20181213,애니메이션,영국,도로타 코비엘라
20182421,그린치,The Grinch,20181219,애니메이션,미국,스콧 모시어
20183449,싸이코 킬러,Psycho Killer,20181116,스릴러,미국,네이선 올리버
20182773,인생 후르츠,Life Is Fruity,20181206,다큐멘터리,일본,켄시 후시하라
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,20181212,애니메이션,미국,밥 퍼시케티
20179006,여곡성,The Wrath,20181108,공포(호러),한국,유영선
20184091,로마,ROMA,20181212,드라마,멕시코,알폰소 쿠아론
20185535,피치포크 살인사건,Pitchfork,20181231,공포(호러),미국,무명
20184578,초대녀 2,,20181228,멜로/로맨스,한국,최우성
20184871,하숙집 여주인의 목적-무삭제판,,20181226,멜로/로맨스,한국,이민
20185409,젊은 형수님들 (감독판),,20181226,멜로/로맨스,한국,강정훈
20185408,장모님들 (감독판),,20181226,멜로/로맨스,한국,강정훈
20185407,내 착한 새엄마,,20181226,멜로/로맨스,한국,이재금
20183906,로빈 후드 리벨리언,ROBIN HOOD THE REBELLION,20181225,액션,영국,니콜라스 윈터
20184772,이벤트우먼,Sweep the Man Out,20181221,,일본,하뉴 켄지
20184771,유흥1번가,Women and Money at Night,20181221,,일본,야마우치 다이스케
20184589,처형의 유혹,,20181220,멜로/로맨스,일본,아사기리 키요시
20182743,바이킹 데스티니,Viking Destiny,20181220,액션,영국,데이비드 L.G. 휴즈
20183937,카운트다운: 쇼크웨이브,SHOCKWAVE: COUNTDOWN TO DISASTER,20181219,액션,미국,닉 라이온
20184863,여선생2,,20181218,코미디,한국,김대성
20184984,하이재킹: 비상착륙,Last Flight,20181218,액션,중국,빈센트 저우
20184734,친구엄마 2018 (무삭제),,20181218,멜로/로맨스,한국,이진명
20184971,젊은 처제들 (감독판),,20181218,멜로/로맨스,한국,강정훈
20184972,어린 새엄마들,,20181218,멜로/로맨스,한국,이정
20184905,파란문 너머의 환상세계,Behind the Blue door,20181217,어드벤처,미국,무명
20184899,지뢰,Stand,20181217,드라마,미국,무명
20184906,인시디어스: 더 하우스,It Watches,20181217,스릴러,미국,데이브 파커
20184900,에일리언 침공,Conspiracy Theory,20181217,공포(호러),미국,제이크 메이어스
20183148,매드 몰리,Molly,20181214,SF,네덜란드,콜린다 봉거스
20184764,다크 하트,Dark Hearts,20181214,스릴러,미국,루돌프 부이텐닥
20184607,교회누나 무삭제판,,20181214,멜로/로맨스,한국,에로핑
20184273,사돈처녀,,20181214,멜로/로맨스,한국,김태수
20183752,엘리스의 50가지 그림자,Darker Shades of Elise,20181217,스릴러,영국,제이미 웨스턴
20184898,악마의 속삭임,Demon Tongue,20181213,공포(호러),미국,무명
20184575,국가 성생활 관리위원회-무삭제판,,20181213,멜로/로맨스,한국,지산겸
20184886,더 리프트,The Rift,20181212,SF,기타,데얀 제체비치
20184570,우연한 정사,Passion,20181209,멜로/로맨스,태국,마우스 수와나
20184605,"젊은 새댁, 옆집 오빠의 맛",The Secret of Young Wife,20181207,드라마,일본,마스부치 가키토
20184588,길들여진 가정교사 쾌락일기,Pleasure in Her Life,20181207,드라마,일본,우스바시 스이
20184812,그녀와 아줌마의 동거,,20181207,,한국,유강
20184702,아내의 엄마들,,20181207,멜로/로맨스,한국,이진
20184729,두 엄마 2018 (감독판),,20181207,멜로/로맨스,한국,이진
20184730,내 사촌 여동생들 (감독판),,20181207,멜로/로맨스,한국,강정훈
20184733,마린: 배틀 엔젤,Straight & Narrow,20181206,액션,미국,무명
20184732,더 콜러,Caller ID,20181206,공포(호러),미국,무명
20170001,아메리카 타운,America Town,20181206,드라마,한국,전수일
20182144,친구엄마 2018,,20181204,멜로/로맨스,한국,이진명
20184248,자매의교환섹스,,20181204,멜로/로맨스,한국,장두만
20177490,신데렐라, Cinderella ,20181201,공연,미국,무명
20183745,런닝맨 : 풀룰루의 역습,Running Man,20181205,애니메이션,한국,윤준상
20184531,콜드플레이: 헤드 풀 오브 드림스,Coldplay: A Head Full Of Dreams,20181228,다큐멘터리,영국,매트 화이트크로스
20185473,몽정기:꿈꿔오던 금단의 섹스,Iyarasiiyume,20181231,멜로/로맨스,일본,후지모토 죠지
20185474,남자를 원하는 음란 유부녀들,Nikusoykutuma,20181231,멜로/로맨스,일본,후지모토 죠지
20185447,음란부인:아내의 내조,Ryoujyoku,20181228,멜로/로맨스,일본,토미죠 타로
20185125,엄마친구의맛,,20181228,멜로/로맨스,한국,정민용
20168773,마약왕,The Drug King,20181219,범죄,한국,우민호
20181673,밀애 : 착한 형수,,20181227,멜로/로맨스,한국,김부곤
20189289,하나 빼고 완벽한 뉴욕 아파트,The Boy Downstairs,20181227,코미디,미국,소피 브룩스
20187651,악령의 캠핑카,The Toybox,20181227,공포(호러),미국,톰 나이젤
20177308,협상,THE NEGOTIATION,20180919,범죄,한국,이종석
20183386,나부야 나부야,Butterfly,20180920,다큐멘터리,한국,최정우
20184897,가정부 길들이기,,20181226,멜로/로맨스,한국,한동호
20185304,터져버린 변태 부인,Hutarino sextukusuhurendo,20181222,멜로/로맨스,일본,나가에 타카미
20185287,어린 신부 능욕기,Kaomisirihujyo2,20181222,멜로/로맨스,일본,토미죠 타로
20184765,자매의은밀한스와핑,,20181221,멜로/로맨스,한국,정민용
20183883,시니스터 스쿼드,SINISTER SQUAD,20181216,액션,미국,제레미 M. 인맨
20185145,드래곤 블레이드: 천장웅사,DRAGON BLADE,20181220,액션,홍콩,이인항
20185170,헤픈 여자:섹파 구해요,Hurin[sukosiaisite],20181220,멜로/로맨스,일본,후지모토 죠지
20185176,젖은 가랑이:노인이 좋아요,MOUROJINSIKAAISENAI-2,20181220,멜로/로맨스,일본,토미죠 타로
20185173,정사:상사의 아내,Tumawosasiagemasu,20181220,멜로/로맨스,일본,나가에 타카미
20185172,의남매,Anitoimouto,20181220,멜로/로맨스,일본,후지모토 죠지
20185175,유부녀들:반항 후 신음,Innrannsextukusu,20181220,멜로/로맨스,일본,나가에 타카미
20185174,아내의 나쁜 섹스 무삭제판,Hurintumawomodose!,20181220,멜로/로맨스,일본,나가에 타카미
20185169,누구라도 좋으니 넣어줘요,Daredemoiikara,20181220,멜로/로맨스,일본,후지모토 죠지
20183969,내 처제가 된 첫사랑,,20181220,멜로/로맨스,한국,김이슬
20185171,구멍:촉촉히 준비된 여자들,Yoxtukyuuhumannoonna,20181220,멜로/로맨스,일본,후지모토 죠지
20184726,맛있는 누나들,,20181219,멜로/로맨스,한국,강백호
20183705,알래스카 북극곰,,20181213,멜로/로맨스,한국,윤중부
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,20181219,애니메이션,일본,타카하시 와타루
20184564,남의 아내,,20181218,드라마,한국,한동호
20182670,갈매기,The Seagull,20181213,드라마,미국,마이클 메이어
20181009,강한 칼: 도도견혈,Brothers,20181209,드라마,중국,아감
20170669,지금 만나러 갑니다,Be With You,20180314,멜로/로맨스,한국,이장훈
20178781,사라진 밤,The Vanished,20180307,스릴러,한국,이창희
20182319,이혼한 여자동창,Wanna Fuck My Best Old Friend,20181214,성인물(에로),일본,후지모리 다카야
20184925,음란 병동:남편몰래 특별진료,huhuai,20181214,멜로/로맨스,일본,나가에 타카미
20184866,옆집소녀2-무삭제,,20181214,멜로/로맨스,한국,성기만
20182318,아내의 섹시한 직장동료,Big Ass Subordinate,20181214,성인물(에로),일본,다카사카 유타카
20182238,새엄마는 현역 여대생,Stepmother Is University Student!?,20181214,성인물(에로),일본,다카사카 미노루
20184926,과부:애타는 몸,Wakantaikendan,20181214,멜로/로맨스,일본,사노 B사쿠
20183971,정사 2018,,20181213,멜로/로맨스,한국,김이슬
20184144,헬 페스트,Hell Fest ,20181213,공포(호러),미국,그레고리 플로킨
